video protocol: MPEG2
revision pre-S
AVD CRC 5097a738 da057815 77aac68c; 0 0 0
AVD CRC b0402059 bcc59e06 23f5258c; 0 0 0
AVD CRC 3f2758b2 90a2ea1 12917f90; 0 0 0
AVD CRC 99b8fc76 9e07c078 a6e311b4; 0 0 0
AVD CRC 3852870e 8c73fe7d f5718857; 0 0 0
AVD CRC 5501b519 6f738004 d9bfc94e; 0 0 0
AVD CRC f7ec8111 49532fb7 fdf93d4e; 0 0 0
AVD CRC b7782e37 75b686ad 785c9221; 0 0 0
AVD CRC 29f9e6f5 57ec4a2a f2965cec; 0 0 0
AVD CRC 579fd74c 2e165d54 50faa99; 0 0 0
AVD CRC f3e689c0 866f642b cf505b48; 0 0 0
AVD CRC a439134d 754108ee aacbbfdc; 0 0 0
AVD CRC 9f1d2ac b18a6d88 1024f511; 0 0 0
AVD CRC bea57451 9cef0d7 93c35fa4; 0 0 0
AVD CRC ec48b393 2e6d365 79749f88; 0 0 0
AVD CRC 18cbd2a4 5947be49 7ee00cb8; 0 0 0
AVD CRC f316ed2f 6fbfbd73 85dd4af8; 0 0 0
AVD CRC e179d3ef 4fe6dd5f bef35faf; 0 0 0
AVD CRC 687d890b cf8b1b4 27dd48d0; 0 0 0
AVD CRC 67f60bf4 614431ae 77f922f; 0 0 0
AVD CRC 1ae1fff2 c4e77c07 6627155a; 0 0 0
AVD CRC 8f0acd4f a5f2f593 1a09a91f; 0 0 0
AVD CRC e52d3727 41fa6855 e3dd6989; 0 0 0
AVD CRC 3e82fdd6 5b66bcb4 13393956; 0 0 0
AVD CRC fbfac2bb 87a7496b 751eb79b; 0 0 0
AVD CRC e234b1be 1d39a4bb 5abe6dac; 0 0 0
AVD CRC 996d8ee6 6d76a972 52b8a92d; 0 0 0
AVD CRC 4f03970c 2ab645fd ce164a3e; 0 0 0
AVD CRC d4af2b8 3e6bc2c8 fbb597b5; 0 0 0
AVD CRC 5bcd0458 e1537919 df1b6920; 0 0 0
AVD CRC 34324edd 63a373da fd27548f; 0 0 0
AVD CRC fd181b14 67701db7 1ff41202; 0 0 0
AVD CRC 2853db64 89a9a4a8 c695e6b; 0 0 0
AVD CRC 6732a611 d6190187 eb204ab6; 0 0 0
AVD CRC 39f0d0d1 2de07dbe 7af0e7f3; 0 0 0
AVD CRC 88ea9ac2 7d75eeba c5a0b2d5; 0 0 0
AVD CRC e7f66ea2 814c56e4 5687040c; 0 0 0
AVD CRC 6e431531 8643f10d be369013; 0 0 0
AVD CRC e3e2ec06 a1809ed bb02fbf; 0 0 0
AVD CRC f88d4688 409bbc9c ede0fe65; 0 0 0
AVD CRC 9c245ae6 8a79dde2 523e3c1d; 0 0 0
AVD CRC a2b054d0 c3b167a8 84de3ff7; 0 0 0
AVD CRC e329d25b e5031146 836f633c; 0 0 0
AVD CRC 63a6a5e3 e50b83ab 24e6091; 0 0 0
AVD CRC 5a41a114 c4ebc885 74d125d8; 0 0 0
AVD CRC fad412ed e2b8df1f 8f44dc1a; 0 0 0
AVD CRC 8512954b 85d32343 e4e0f9a1; 0 0 0
AVD CRC 3dbcd98 9b81c6b8 61330cf1; 0 0 0
AVD CRC eeb92bf7 ee8116fa 7de73bae; 0 0 0
AVD CRC 655b6660 6b362ed7 ad77a451; 0 0 0
AVD CRC 98354c3f 46303887 6b8e4765; 0 0 0
AVD CRC bd955cc2 9e06a3ee 2434a757; 0 0 0
AVD CRC e1040572 b8ffccc 9abad220; 0 0 0
AVD CRC 4d816c75 20e1e8a 9e19ba40; 0 0 0
AVD CRC 8b1c3ac6 81081ef 8ba1ea42; 0 0 0
AVD CRC dc6ec7d7 abaa3fbf f514924f; 0 0 0
AVD CRC 5675e558 13977a5b b68a0c; 0 0 0
AVD CRC adf94bf3 8e2deddf d55662b4; 0 0 0
AVD CRC c022128b 4d5745f3 14df48b2; 0 0 0
AVD CRC a43b74a efbcb366 5f2e2607; 0 0 0
AVD CRC c2ac7f9b 78f3591b c97e23c9; 0 0 0
AVD CRC 9a71dfc5 a630bd89 10a38edb; 0 0 0
AVD CRC 9de9a3e7 fae2dd16 1b1985ce; 0 0 0
AVD CRC a6567320 b1c9f23e 2b03eddb; 0 0 0
AVD CRC e08d2d94 e53bf524 67c05f3d; 0 0 0
AVD CRC ad79fd27 aa9300b3 8cb23bd9; 0 0 0
AVD CRC 962ae487 6a2af3e8 d6013925; 0 0 0
AVD CRC 1335744a 3e534570 546f189e; 0 0 0
AVD CRC 44288499 1316919c 50837d25; 0 0 0
AVD CRC e6c586cd 20e8e7e3 7f6a9f50; 0 0 0
AVD CRC 632f2a06 b8632cd6 775de555; 0 0 0
AVD CRC 48152e44 52c1faf5 b2a6d33e; 0 0 0
AVD CRC 6c6b3a7e 596a22f3 2b715ff4; 0 0 0
AVD CRC 7765e2d8 471bdb64 f460fedb; 0 0 0
AVD CRC cdc29ee4 c28eb1cd 1c515ed6; 0 0 0
AVD CRC a1b98507 fb68d3b 4f71e8e4; 0 0 0
AVD CRC 9f8cf58a 66c99fe4 9a15e77c; 0 0 0
AVD CRC 3e24fe62 37fbc103 1b3ba850; 0 0 0
AVD CRC 3ae086b3 35437b42 cf28c80f; 0 0 0
AVD CRC addef6d1 6ba50bf4 907d2065; 0 0 0
AVD CRC db0586d6 1f0a0ce9 d2bbb0a7; 0 0 0
AVD CRC e947c8a3 24c9d1b4 16fe6068; 0 0 0
AVD CRC 7116b9e6 31b604d1 20e3b03d; 0 0 0
AVD CRC 2d0afa82 e375bd64 44e050fd; 0 0 0
AVD CRC 290c6a29 1f09199f af3200c8; 0 0 0
AVD CRC cd8e4de2 22995241 1095a6a8; 0 0 0
AVD CRC 196c9b09 3a01fe62 daf56185; 0 0 0
