video protocol: MPEG2
revision pre-S
AVD CRC f7bf4f50 2ee1082f f77e4f89; 0 0 0
AVD CRC a272daf8 52664cb9 71bf5bd2; 0 0 0
AVD CRC ebb9276a f91bc450 7f6dd9e8; 0 0 0
AVD CRC fcbf5a32 af8de34e b588463; 0 0 0
AVD CRC 6dda1479 b23dbde5 48cf0e37; 0 0 0
AVD CRC 2af2c4fe c0b02789 9e07bc2b; 0 0 0
AVD CRC 116ff668 bfa64e0a 9823dc0d; 0 0 0
AVD CRC 23635db1 dc77b871 5c41badd; 0 0 0
AVD CRC 9cf70b07 585703a0 ca0ceb38; 0 0 0
AVD CRC 3f6f96d f5622f9f 76e687c7; 0 0 0
AVD CRC 62b77cec 24b921a4 4f6d6eaa; 0 0 0
AVD CRC bb5e1656 371f1950 34be5da3; 0 0 0
AVD CRC 6c1eb53b 8d954079 640a09ad; 0 0 0
AVD CRC ac22ac8e 50ea1059 141b70be; 0 0 0
AVD CRC 46c51597 79aba961 48c3d6a5; 0 0 0
AVD CRC 68a96b1d 357b2e3f abb61619; 0 0 0
AVD CRC 41277981 22e7857c ac736df4; 0 0 0
AVD CRC c7ff0587 766e7fb2 f49a5ad; 0 0 0
AVD CRC 3886e2f4 c0cd2bf0 c2c18d83; 0 0 0
AVD CRC 4c47b3c0 db57dce5 3fc7dbb7; 0 0 0
AVD CRC 86973a38 55620170 aa02915; 0 0 0
AVD CRC 7a203035 4cb6ca68 2c3fff5c; 0 0 0
AVD CRC 4d762da9 d0029eef 2ced088e; 0 0 0
AVD CRC 397c452f c3a76b91 1aec3e8; 0 0 0
AVD CRC 10378941 9184eac2 9fba38ca; 0 0 0
AVD CRC 2639e28e b36d3da7 c7362ff4; 0 0 0
AVD CRC 72df5d71 a6adeef9 46002466; 0 0 0
AVD CRC 8194e2e6 8cd0cb95 ee8c6650; 0 0 0
AVD CRC 5ca7f889 9423144a f9a3290d; 0 0 0
AVD CRC 4317b68 4a0c6f53 88751f76; 0 0 0
AVD CRC b9a25e2a 757c9c19 d5f52a70; 0 0 0
AVD CRC e29bc074 aa1e8dfa 20f23c01; 0 0 0
AVD CRC 90a7053c cedc4a2a c5824889; 0 0 0
AVD CRC 26bc0f3d c8dbed50 6a04acc; 0 0 0
AVD CRC e9b4199c f4d1070 a3148a1; 0 0 0
AVD CRC 7b2da9fb efe4d985 df68e6a6; 0 0 0
AVD CRC 71260c09 c17f0178 c790fbe1; 0 0 0
AVD CRC 94463591 224a67ec 7396c279; 0 0 0
AVD CRC 98591187 ea0cabc5 3acd1201; 0 0 0
AVD CRC cd631649 d800efff 88d7cfb6; 0 0 0
AVD CRC 72c7dcbf dd95ec61 977a7950; 0 0 0
AVD CRC 8bd8b6fa aaa42213 700dde16; 0 0 0
AVD CRC a4186957 c3d7be71 5296359c; 0 0 0
AVD CRC 29175117 54f419f5 a46a6110; 0 0 0
AVD CRC 2a04c425 2efbf550 c0f7dc79; 0 0 0
AVD CRC 8cf7b5e4 36dbe7e4 4be4929b; 0 0 0
AVD CRC 44861c3 bd5064f7 17a5599; 0 0 0
AVD CRC f02e903a bbcbaacc 9937458a; 0 0 0
AVD CRC 675ead9a 181749f3 18c42083; 0 0 0
AVD CRC d8497e49 6d96c316 1b17591b; 0 0 0
AVD CRC 577a59e4 62a98cb b122c5f7; 0 0 0
AVD CRC 3a952db1 4d769c3b 9ccc3eff; 0 0 0
AVD CRC fdfc4922 3a3991b 9b2af3c6; 0 0 0
AVD CRC a7cad4d3 71bdda7f ce4f8a5e; 0 0 0
AVD CRC 4e3b5f2e 331dc0f6 c312f301; 0 0 0
AVD CRC 6b5960aa 286e372 e43d4ddc; 0 0 0
AVD CRC c23cf10 8e00159a be106b79; 0 0 0
AVD CRC 583fa8d e7be393c bee81ea8; 0 0 0
AVD CRC 8cfdf348 b7ebc3cb 5fc7006b; 0 0 0
AVD CRC fd81abcf 39e138a c4cc19da; 0 0 0
AVD CRC 88ebf16c b4b0f5aa 3d55bb8a; 0 0 0
AVD CRC 566016c8 d46f3dda 21142b3; 0 0 0
AVD CRC 74f54567 8a9d1f72 5671e19a; 0 0 0
AVD CRC 5c032d05 1ebe89aa 8ae7e14e; 0 0 0
AVD CRC 3b5e8ad0 14aefa9c a37f7a1e; 0 0 0
AVD CRC cf744964 709d497b e656c78c; 0 0 0
AVD CRC b10527f1 5c05c379 d90f4640; 0 0 0
AVD CRC 4894a5ad 9bc88f02 602056f9; 0 0 0
AVD CRC 4b1c3394 d24937fa c36f8843; 0 0 0
AVD CRC 6ea1972f 1117b154 272085df; 0 0 0
AVD CRC b130557e 636560d1 11151279; 0 0 0
AVD CRC f083baca 4921ca6b b03a94ed; 0 0 0
AVD CRC b64b4b92 317fe385 1aea0962; 0 0 0
AVD CRC bc74cabd 96f03d6a 5e865027; 0 0 0
AVD CRC 777bb84 fa260fc2 7f0ac305; 0 0 0
AVD CRC 7fb8f8fc 6672a2cf ba63bc79; 0 0 0
AVD CRC bf572474 8bddbfe8 285831e6; 0 0 0
AVD CRC 6ccdce0c 8be3d92c cb01735f; 0 0 0
AVD CRC 663a68f2 7b761b11 efb34472; 0 0 0
AVD CRC 4a1e73c4 b1373b89 6f5409ce; 0 0 0
AVD CRC df947d6b c8dc3f03 d259e843; 0 0 0
AVD CRC 3de69f37 561d48a5 49dfd61c; 0 0 0
AVD CRC bce38ac6 43ba92e 304be622; 0 0 0
AVD CRC 614975f6 b73be8ac ff9bcf94; 0 0 0
AVD CRC 7ea6e268 f8b3d2e3 166bd38e; 0 0 0
AVD CRC 983f031d 427bf4f2 1044ed6e; 0 0 0
AVD CRC 817b73ee 8c2555fb 24e79264; 0 0 0
AVD CRC c3858d7b 1edb67a5 f0b151a3; 0 0 0
AVD CRC 92daf20e 6d6840c7 6f44b7a; 0 0 0
AVD CRC 7232142b 898b887c 3ba7b82c; 0 0 0
AVD CRC 6808364a 997c0a96 f4ccde07; 0 0 0
AVD CRC 28080dc5 11b476ef 7d727; 0 0 0
--------------------------------------------------------------
revision S
AVD CRC fdbbcb2 3f7f21c 402334d; 0 0 0
AVD CRC fdce2b8 3f0bbbf 3fec7bd; 0 0 0
AVD CRC fdbc0a1 3ed8128 40a4c0c; 0 0 0
AVD CRC fe1bc51 3eb77fe 406e18b; 0 0 0
AVD CRC fe824c6 3ecf6dd 4059998; 0 0 0
AVD CRC fe1e4f7 3e7b7b2 405b12e; 0 0 0
AVD CRC fdfe0ee 3e7b407 404cdfc; 0 0 0
AVD CRC fdffc1c 3e40851 406201d; 0 0 0
AVD CRC fe03883 3e2773f 4051906; 0 0 0
AVD CRC fdffe29 3e9363a 4094c43; 0 0 0
AVD CRC fe0b0ba 3f060e2 405cb6e; 0 0 0
AVD CRC fe225ec 3eff3c7 4017de4; 0 0 0
AVD CRC fe2b7d6 3f0a7d0 4065598; 0 0 0
AVD CRC fe1181b 3efe7ec 405f46d; 0 0 0
AVD CRC fe04707 3f263c8 405d7f7; 0 0 0
AVD CRC fdd169a 3f53a74 406bf04; 0 0 0
AVD CRC fdd4422 3f4909a 406da3e; 0 0 0
AVD CRC fdc6620 3f468cf 4069ea9; 0 0 0
AVD CRC fe1e054 3ffa96f 3f5499e; 0 0 0
AVD CRC fe4db47 4023bfd 3ee1cbe; 0 0 0
AVD CRC fd04c1f 404d3dd 3ec9ed6; 0 0 0
AVD CRC fcf4a4e 4026823 3ecc223; 0 0 0
AVD CRC fcae0e3 401e7bd 3ecfd33; 0 0 0
AVD CRC fca8e3e 4028f18 3ed32b7; 0 0 0
AVD CRC fca2bad 402baf9 3f084bb; 0 0 0
AVD CRC fcd58ac 4038465 3fa4093; 0 0 0
AVD CRC fcc805c 4054053 3fa1565; 0 0 0
AVD CRC fcdd14b 405ea5c 3fa2215; 0 0 0
AVD CRC fd565ec 40537c6 3fa253a; 0 0 0
AVD CRC fe121ee 403c440 3f9fb6c; 0 0 0
AVD CRC fe77b32 402efbd 3faa351; 0 0 0
AVD CRC fef7425 401c246 3fa0a91; 0 0 0
AVD CRC fe9ac88 3fb77cb 3fa2fcc; 0 0 0
AVD CRC fe99f4f 3f83295 3fa4bf7; 0 0 0
AVD CRC fea57e6 3ff8fd7 3f13f52; 0 0 0
AVD CRC fea002f 4004328 3f1e56b; 0 0 0
AVD CRC fe98186 3fff368 3f1689a; 0 0 0
AVD CRC feadd98 3ffdc68 3ef6660; 0 0 0
AVD CRC feaa388 40021d3 3edff89; 0 0 0
AVD CRC fea3a3d 401491b 3ed0892; 0 0 0
AVD CRC feaa7e5 4007264 3f0f134; 0 0 0
AVD CRC fe87875 3ffbbe9 3faa1be; 0 0 0
AVD CRC fe6db37 4014fb6 3fa336f; 0 0 0
AVD CRC fe4f0dd 4029c40 3fa348a; 0 0 0
AVD CRC fe492b9 4028f8d 3f9fe1a; 0 0 0
