SROM fields,,,,,BCM943431 P151,
Byte Offset,,Word Offset,,Description,Value,Explanation
Dec,Hex,Dec,Hex,,Hex,
198,C6,99,63,pa2gw2a0 [b1],0xFA44,2G Band ant0: PA parms
200,C8,100,64,iit5ga0/maxp5ga0,0x3E3C,5G Band ant0: Idle Target TSSI / midband Max Power
202,CA,101,65,maxp5gla0/maxp5gha0,0x3C3C,5G Band ant0: lowband Max Power / highband Max Power
204,CC,102,66,pa5gw0a0 [a1],0xFE77,5G Band ant0: midband PA parms
206,CE,103,67,pa5gw1a0 [b0],0x1657,5G Band ant0: midband PA parms
208,D0,104,68,pa5gw2a0 [b1],0xFA75,5G Band ant0: midband PA parms
210,D2,105,69,pa5glw0a0 [a1],0xFFFF,5G Band ant0: lowband PA parms
212,D4,106,6A,pa5glw1a0 [b0],0xFFFF,5G Band ant0: lowband PA parms
214,D6,107,6B,pa5glw2a0 [b1],0xFFFF,5G Band ant0: lowband PA parms
216,D8,108,6C,pa5ghw0a0 [a1],0xFE76,5G Band ant0: highband PA parms
218,DA,109,6D,pa5ghw1a0 [b0],0x15DA,5G Band ant0: highband PA parms
220,DC,110,6E,pa5ghw2a0 [b1],0xF885,5G Band ant0: highband PA parms
222,DE,111,6F,reserved,0x0000,
224,E0,112,70,itt2ga1/maxp2ga1,0x2048,2G Band ant1: Idle Target TSSI / Max Power
226,E2,113,71,pa2gw0a1 [a1],0xFE5C,2G Band ant1: PA parms
228,E4,114,72,pa2gw1a1 [b0],0x16B5,2G Band ant1: PA parms
230,E6,115,73,pa2gw2a1 [b1],0xA56,2G Band ant1: PA parms
232,E8,116,74,iit5ga1/maxp5ga1,0x3E3C,5G Band ant1: Idle Target TSSI / midband Max Power
234,EA,117,75,maxp5gla1/maxp5gha1,0x3C3C,5G Band ant1: lowband Max Power / highband Max Power
236,EC,118,76,pa5gw0a1 [a1],0xFE7C,5G Band ant1: midband PA parms
238,EE,119,77,pa5gw1a1 [b0],0x169D,5G Band ant1: midband PA parms
240,F0,120,78,pa5gw2a1 [b1],0xFA6B,5G Band ant1: midband PA parms
242,F2,121,79,pa5glw0a1 [a1],0xFFFF,5G Band ant1: lowband PA parms
244,F4,122,7A,pa5glw1a1 [b0],0xFFFF,5G Band ant1: lowband PA parms
246,F6,123,7B,pa5glw2a1 [b1],0xFFFF,5G Band ant1: lowband PA parms
248,F8,124,7C,pa5ghw0a1 [a1],0xFE7A,5G Band ant1: highband PA parms
250,FA,125,7D,pa5ghw1a1 [b0],0x1597,5G Band ant1: highband PA parms
252,FC,126,7E,pa5ghw2a1 [b1],0xFA97,5G Band ant1: highband PA parms
254,FE,127,7F,reserved,0x0000,
256,100,128,80,itt2ga2/maxp2ga2,0x2048,2G Band ant2: Idle Target TSSI / Max Power
258,102,129,81,pa2gw0a2,0xFE68,2G Band ant2: PA parms
260,104,130,82,pa2gw1a2,0x1734,2G Band ant2: PA parms
262,106,131,83,pa2gw2a2,0xFA46,2G Band ant2: PA parms
264,108,132,84,iit5ga2/maxp5ga2,0x3E3C,5G Band ant2: Idle Target TSSI / midband Max Power
266,10A,133,85,maxp5gla2/maxp5gha2,0x3E3C,5G Band ant2: lowband Max Power / highband Max Power
268,10C,134,86,pa5gw0a2 [a1],0xFE7F,5G Band ant2: midband PA parms
270,10E,135,87,pa5gw1a2 [b0],0x15E4,5G Band ant2: midband PA parms
272,110,136,88,pa5gw2a2 [b1],0xFA94,5G Band ant2: midband PA parms
274,112,137,89,pa5glw0a2 [a1],0xFFFF,5G Band ant2: lowband PA parms
276,114,138,8A,pa5glw1a2 [b0],0xFFFF,5G Band ant2: lowband PA parms
278,116,139,8B,pa5glw2a2 [b1],0xFFFF,5G Band ant2: lowband PA parms
280,118,140,8C,pa5ghw0a2 [a1],0xFE7D,5G Band ant2: highband PA parms
282,11A,141,8D,pa5ghw1a2 [b0],0x1582,5G Band ant2: highband PA parms
284,11C,142,8E,pa5ghw2a2 [b1],0xFA9F,5G Band ant2: highband PA parms
286,11E,143,8F,reserved,0x0000,
288,120,144,90,itt2ga3/maxp2ga3,0xFFFF,2G Band ant3: Idle Target TSSI / Max Power
290,122,145,91,pa2gw0a3,0xFFFF,2G Band ant3: PA parms
292,124,146,92,pa2gw1a3,0xFFFF,2G Band ant3: PA parms
294,126,147,93,pa2gw2a3,0xFFFF,2G Band ant3: PA parms
296,128,148,94,iit5ga3/maxp5ga3,0xFFFF,5G Band ant3: Idle Target TSSI / midband Max Power
298,12A,149,95,maxp5gla3/maxp5gha3,0xFFFF,5G Band ant3: lowband Max Power / highband Max Power
300,12C,150,96,pa5gw0a3 [a1],0xFFFF,5G Band ant3: midband PA parms
302,12E,151,97,pa5gw1a3 [b0],0xFFFF,5G Band ant3: midband PA parms
304,130,152,98,pa5gw2a3 [b1],0xFFFF,5G Band ant3: midband PA parms
306,132,153,99,pa5glw0a3 [a1],0xFFFF,5G Band ant3: lowband PA parms
