2534
6.8 1
0.61 0.69 1.0
0.67 0.75 1.0
0.79 0.84 1.0
0.97 0.97 1.0
1.0 0.96 0.92
1.0 0.82 0.63
1.0 0.8 0.44
1.94666 0.868789 5.4 F5
0.513068 -0.73777 5.4 K0
2.13017 -0.834073 5.4 B3
4.9593 -0.225321 5.4 B5
5.13917 0.745286 5.4 B8
5.18709 0.67357 5.4 M0
3.71376 1.21592 5.4 M0
0.848296 0.765202 5.4 B5
2.13017 -0.834079 5.4 B3
3.26754 -1.03232 5.4 F8
5.4513 0.489777 5.4 F8
4.81994 0.00287708 5.4 A0
2.13417 -0.133033 5.4 G5
2.94401 0.0398935 5.4 K5
4.96019 0.23657 5.4 F5
3.02594 -0.826662 5.4 F0
4.94242 -0.746579 5.4 K0
5.4683 0.236138 5.4 K0
4.02069 -0.689989 5.4 A0
4.83055 -0.0352424 5.4 K0
2.67648 0.515926 5.4 A0
4.83369 -0.576381 5.4 A3
5.456 -0.698105 5.4 K2
0.45075 -0.4416 5.4 F0
0.731886 -0.491283 5.4 A0
3.76097 -0.429009 5.4 K0
3.26214 1.02417 5.4 A5
5.39913 -1.16831 5.4 B9
2.8386 0.957338 5.4 K0
2.49558 -0.85141 5.4 B3
5.68308 1.25822 5.4 K0
0.732652 -1.09979 5.4 A0
0.65032 0.627039 5.4 K0
1.45804 0.296902 5.4 A5
0.649752 0.0357198 5.4 K0
5.39679 0.00540068 5.4 K0
4.0842 0.707125 5.4 G5
5.01767 -0.140057 5.4 B3
1.62726 0.219362 5.4 B9
4.41533 -0.106006 5.4 K0
5.94605 -0.816999 5.4 K0
6.21608 -0.88146 5.4 B5
2.31217 -1.16249 5.4 F5
4.37828 0.15136 5.4 K2
0.688339 0.468576 5.4 A2
4.84627 -0.576928 5.4 B3
4.8473 0.532594 5.4 B8
0.911775 0.800919 5.4 F0
5.60889 0.478046 5.4 A0
2.67077 -1.15409 5.4 A3
4.28441 1.20821 5.4 K0
0.0960652 1.07432 5.4 B9
2.10452 -0.567796 5.4 M0
0.167555 0.683899 5.4 G5
5.39056 0.195512 5.4 A2
4.85555 0.913037 5.4 K0
2.35702 -0.907414 5.4 B9
5.0423 0.400278 5.4 B0
3.46492 -0.545278 5.4 K0
3.27768 0.585097 5.4 K0
3.27771 -0.160158 5.4 A0
2.11544 0.379233 5.4 G0
0.0940524 0.903086 5.4 B3
4.86108 0.158504 5.4 F2
4.2788 -0.68204 5.4 G0
4.86169 0.115732 5.4 F2
5.29421 0.407618 5.4 G5
1.45219 -0.0946173 5.4 OE
